label,area,bbox_area,centroid-0,centroid-1,centroid-2,equivalent_diameter_area,extent,mean_intensity,max_intensity,min_intensity,volume,compactness,timepoint,subfolder
1,797.0,1428.0,7.91969887076537,250.36010037641154,17.48306148055207,11.503232552471239,0.5581232492997199,0.6018468141555786,1.0,0.008241050876677036,797.0,1.7917189437995997,0,01
2,1055.0,3168.0,7.672037914691943,265.6189573459716,431.6094786729858,12.63042446018115,0.33301767676767674,0.4057365357875824,1.0,0.007725985255092382,1055.0,3.002843599049437,0,01
3,777.0,3168.0,7.32046332046332,350.86100386100384,305.2187902187902,11.406195179405412,0.24526515151515152,0.43286532163619995,1.0,0.0061807879246771336,777.0,4.07722007197269,0,01
4,842.0,4760.0,7.25771971496437,377.06294536817103,349.853919239905,11.715778611574557,0.17689075630252102,0.4764479696750641,1.0,0.006695853546261787,842.0,5.653206644117332,0,01
5,890.0,2176.0,7.367415730337079,398.17977528089887,128.04494382022472,11.934304873061132,0.40900735294117646,0.6156915426254272,1.0,0.008241050876677036,890.0,2.4449438174775913,0,01
6,685.0,1600.0,7.353284671532847,407.5985401459854,101.91386861313869,10.936977442758298,0.428125,0.6029482483863831,1.0,0.008241050876677036,685.0,2.3357664199477863,0,01
7,2069.0,4416.0,8.699371677138714,428.0352827452876,467.752537457709,15.809590565616181,0.4685235507246377,0.6521338820457458,1.0,0.0061807879246771336,2069.0,2.1343644262279535,0,01
8,794.0,4512.0,7.251889168765743,429.46851385390426,89.01007556675063,11.488781240080074,0.17597517730496454,0.5641143321990967,1.0,0.007725985255092382,794.0,5.682619640198212,0,01
9,1783.0,8928.0,7.42456533931576,472.5092540661806,250.86259113853058,15.04472453356564,0.19970878136200718,0.4385993480682373,1.0,0.00566572230309248,1783.0,5.007291079636965,0,01
10,162.0,726.0,7.611111111111111,146.6358024691358,386.25308641975306,6.763509910720959,0.2231404958677686,0.3651640713214874,1.0,0.013391707092523575,162.0,4.481481453818016,0,01
11,653.0,1710.0,7.857580398162328,152.90352220520674,371.7350689127106,10.763946230585551,0.38187134502923975,0.4008050560951233,1.0,0.009271182119846344,653.0,2.618682997521159,0,01
12,479.0,920.0,7.48643006263048,152.66805845511482,411.91440501043843,9.707609478302818,0.5206521739130435,0.255837082862854,0.9363893866539001,0.008241050876677036,479.0,1.9206680544453694,0,01
13,16.0,36.0,7.5625,148.5,402.3125,3.126370567187088,0.4444444444444444,0.25045067071914673,0.5305176377296448,0.024208085611462593,16.0,2.249999859375009,0,01
14,977.0,4416.0,7.967246673490276,190.71852610030706,130.10542476970318,12.311150689306299,0.2212409420289855,0.3995939791202545,1.0,0.007725985255092382,977.0,4.519959053715497,0,01
15,788.0,2553.0,7.772842639593908,209.496192893401,123.03426395939087,11.459769042746508,0.30865648256952605,0.41703617572784424,1.0,0.008756116032600403,788.0,3.2398477116245585,0,01
16,889.0,1518.0,7.916760404949382,215.62879640044994,265.59505061867264,11.929833420835521,0.5856389986824769,0.3833351731300354,1.0,0.007725985255092382,889.0,1.7075365560095201,0,01
17,707.0,2100.0,8.854314002828854,323.992927864215,5.817538896746817,11.052832718859134,0.33666666666666667,0.7160167098045349,1.0,0.009786248207092285,707.0,2.9702970255017016,0,01
18,45.0,60.0,7.0,499.8666666666667,8.755555555555556,4.413041015034398,0.75,0.7617707252502441,1.0,0.23693020641803741,45.0,1.3333333037037045,0,01
19,679.0,2088.0,9.444771723122239,461.5331369661267,46.759941089837994,10.90495097114506,0.3251915708812261,0.720586359500885,1.0,0.016997167840600014,679.0,3.075110452024874,0,01
20,946.0,2484.0,10.458773784355179,248.84672304439746,308.1247357293869,12.179538653013774,0.3808373590982287,0.572956383228302,1.0,0.012361575849354267,946.0,2.6257928090636438,0,01
21,874.0,2160.0,12.14645308924485,192.10411899313502,47.732265446224254,11.862355544202574,0.4046296296296296,0.5545276999473572,1.0,0.01133144460618496,874.0,2.4713958781791807,0,01
22,427.0,1064.0,12.313817330210773,214.519906323185,41.06791569086651,9.34278635037763,0.40131578947368424,0.4621393382549286,1.0,0.009271182119846344,427.0,2.49180327285292,0,01
23,510.0,1008.0,11.592156862745098,251.2156862745098,41.77647058823529,9.912667021131277,0.5059523809523809,0.42128786444664,1.0,0.0118465106934309,510.0,1.9764705843598616,0,01
24,537.0,768.0,14.063314711359403,410.487895716946,449.24953445065177,10.0845971582465,0.69921875,0.7234759330749512,1.0,0.025238217785954475,537.0,1.4301675951021087,0,01
25,446.0,1944.0,14.195067264573991,419.1143497757848,482.2645739910314,9.479354075655632,0.2294238683127572,0.5242167115211487,1.0,0.02678341418504715,446.0,4.358744384845864,0,01
26,1000.0,2610.0,15.977,378.193,387.21,12.407009817988,0.3831417624521073,0.6024604439735413,1.0,0.014421838335692883,1000.0,2.60999999739,0,01
27,761.0,2700.0,15.993429697766096,492.13272010512486,407.51642575558475,11.32735934565524,0.28185185185185185,0.4716458320617676,1.0,0.010301313363015652,761.0,3.5479632016452523,0,01
28,218.0,406.0,15.440366972477063,391.9633027522936,13.0,7.467111284036796,0.5369458128078818,0.5092901587486267,1.0,0.0118465106934309,218.0,1.8623853125578655,0,01
29,594.0,1260.0,18.695286195286194,438.94444444444446,168.5976430976431,10.429478845748973,0.4714285714285714,0.8471382856369019,1.0,0.01957249641418457,594.0,2.121212117641057,0,01
30,779.0,3895.0,21.290115532734276,169.74454428754814,325.89088575096275,11.415973319795743,0.2,0.4014110267162323,1.0,0.009271182119846344,779.0,4.999999993581515,0,01
31,729.0,2025.0,21.223593964334704,172.7434842249657,359.1934156378601,11.166308836189199,0.36,0.4194341003894806,1.0,0.010301313363015652,729.0,2.777777773967383,0,01
32,406.0,741.0,20.125615763546797,188.7832512315271,394.8448275862069,9.187044156234652,0.5479082321187584,0.8464272618293762,1.0,0.021117692813277245,406.0,1.8251231482139825,0,01
33,369.0,1360.0,21.444444444444443,181.73441734417344,186.5528455284553,8.89902816477149,0.2713235294117647,0.2646271884441376,1.0,0.015451970510184765,369.0,3.685636846380388,0,01
34,782.0,2992.0,21.510230179028135,205.6074168797954,316.9693094629156,11.430609199053555,0.26136363636363635,0.45648321509361267,1.0,0.0061807879246771336,782.0,3.826086951629045,0,01
35,728.0,2112.0,21.449175824175825,230.65934065934067,340.0302197802198,11.161200734453441,0.3446969696969697,0.4544573724269867,1.0,0.010301313363015652,728.0,2.9010988971138754,0,01
36,540.0,1440.0,21.822222222222223,378.1574074074074,329.69814814814816,10.103341805763778,0.375,0.32703855633735657,1.0,0.014421838335692883,540.0,2.666666661728395,0,01
37,136.0,546.0,21.948529411764707,504.27941176470586,89.40441176470588,6.380383188021705,0.2490842490842491,0.7333455681800842,1.0,0.05047643557190895,136.0,4.014705852833045,0,01
38,24.0,72.0,22.041666666666668,503.1666666666667,281.0,3.578800915758598,0.3333333333333333,0.3723280727863312,0.9600824117660522,0.059232551604509354,24.0,2.999999875000005,0,01
1,780.0,1368.0,7.780769230769231,251.1346153846154,17.27948717948718,11.420856114796512,0.5701754385964912,0.6151047945022583,1.0,0.01030662190169096,780.0,1.7538461515976331,1,01
2,1012.0,2484.0,7.910079051383399,265.77667984189725,433.4308300395257,12.456440658022236,0.4074074074074074,0.4252123236656189,1.0,0.008245297707617283,1012.0,2.4545454521200143,1,01
3,528.0,1824.0,8.397727272727273,320.56439393939394,7.350378787878788,10.027940922541108,0.2894736842105263,0.7280988693237305,1.0,0.015975264832377434,528.0,3.454545448002755,1,01
4,503.0,2688.0,7.68389662027833,352.5606361829026,296.4652087475149,9.867105859839384,0.1871279761904762,0.5554244518280029,1.0,0.011852615512907505,503.0,5.343936371085614,1,01
5,665.0,4100.0,7.457142857142857,388.0812030075188,355.61654135338347,10.82948176439454,0.16219512195121952,0.5373067259788513,1.0,0.011337283998727798,665.0,6.165413524563288,1,01
6,1045.0,4292.0,7.499521531100479,396.45645933014356,129.5444976076555,12.590391150554334,0.2434762348555452,0.5769104361534119,1.0,0.008245297707617283,1045.0,4.10717702956251,1,01
7,1405.0,8520.0,7.473309608540926,428.9110320284698,87.22633451957296,13.896088371105968,0.16490610328638497,0.5623067617416382,1.0,0.007214635610580444,1405.0,6.064056935185724,1,01
8,2010.0,5292.0,8.513432835820895,428.12139303482587,464.4850746268657,15.657862622397461,0.3798185941043084,0.695235013961792,1.0,0.008760628290474415,2010.0,2.6328358195856536,1,01
9,1649.0,5720.0,7.552456033959976,476.9260157671316,242.55245603395997,14.657976163313062,0.2882867132867133,0.45816826820373535,1.0,0.007214635610580444,1649.0,3.4687689487757614,1,01
10,693.0,1482.0,7.818181818181818,151.41558441558442,380.9307359307359,10.97938980098345,0.4676113360323887,0.4163127839565277,1.0,0.011337283998727798,693.0,2.138528135442239,1,01
11,575.0,1944.0,7.481739130434782,162.62782608695653,405.14608695652174,10.317070719223787,0.2957818930041152,0.2789567708969116,1.0,0.011852615512907505,575.0,3.380869559337618,1,01
12,738.0,1650.0,7.487804878048781,192.00948509485096,107.01490514905149,11.212072908402941,0.44727272727272727,0.45102888345718384,1.0,0.012367946095764637,738.0,2.2357723546940753,1,01
13,575.0,1680.0,7.83304347826087,198.2608695652174,138.01391304347825,10.317070719223787,0.34226190476190477,0.5066713094711304,1.0,0.011852615512907505,575.0,2.921739125353497,1,01
14,842.0,3312.0,7.921615201900238,220.32779097387174,264.4429928741093,11.715778611574557,0.25422705314009664,0.3997255861759186,1.0,0.007729966659098864,842.0,3.9334916817892025,1,01
