dataset,sample,timepoint,mean_radius,median_radius,max_radius,min_radius,sd_radius,p25_radius,p75_radius,p90_radius,p95_radius,n_leader_cells,mean_leader_radius,radius_skewness,radius_kurtosis,dispersion_index,mean_nn_dist,median_nn_dist,sd_nn_dist,mean_volume,sd_volume,mean_compactness,sd_compactness,mean_extent,sd_extent,cell_count,invasion_volume,cell_density
test,1,0,204.92397312823618,206.95004489941888,350.0253495324785,28.683279235610236,67.89042745447921,180.9002636205743,246.70646923438042,306.5996417698591,318.5869395889797,6.0,323.3715775591035,-0.2962666017807899,0.3867559806568561,1.7080741905850205,27.887379000232087,20.32032734757177,19.599241455489864,522.5882352941177,396.38931249318966,2.74674472614003,1.2450284395497782,0.4176399846723166,0.1377181779548801,51.0,179633405.430035,2.8391155797502194e-07
test,1,1,209.72506957600828,207.89855672009708,339.25556366652194,16.90832583933041,65.39074533174018,177.3800004435462,251.73913221490284,291.8937864196988,313.0471539973046,6.0,314.67099753141156,-0.4345031511988069,0.4813707451822258,1.6176204606935147,25.487098616161028,22.434803618618737,12.073985377702622,529.9230769230769,348.5332204130955,3.270307501795355,1.7065784343373598,0.37535111051897097,0.16037446132828906,52.0,163557154.12752423,3.1793167518344084e-07
test,1,2,206.66616563997064,202.42164158636012,327.42183465074294,36.2598504361897,60.50639665819733,176.6369214932485,245.20551710749143,289.7999634620127,309.17238250581477,5.0,311.3042360997328,-0.29579632678295653,0.6798597954808967,1.584303040784811,33.05283244363716,27.02122100178458,18.665270003283148,646.6428571428571,340.66060797483465,3.5135939048598495,1.4451866874527424,0.3333414452704281,0.13126454650461092,42.0,147031884.06127098,2.8565232818820304e-07
test,1,3,204.74946683129406,202.26573556078233,333.443664326344,38.258531365061444,64.46318093897226,173.10025638185652,244.52336668131363,295.0395224128323,311.6901817609101,5.0,316.4825363779779,-0.2601613096771704,0.2862497213544639,1.6285447258384764,31.429707185733708,29.728592235278605,16.916915881383193,613.063829787234,401.7294895744019,3.5759770667367294,1.8797807086406864,0.35187393898712155,0.15889449223495228,47.0,155294480.07812136,3.026508088140448e-07
test,1,4,206.34424100811236,201.48505597526142,328.88437261076166,33.84180577835687,64.3638346301212,170.29807355663493,247.3779386677376,289.2170406136018,306.38931476284927,5.0,310.89848821568785,-0.3430533768402107,0.1600273082030892,1.5938626200758939,36.264152609038156,33.345476893751055,18.327116357593773,637.8444444444444,407.3547680716492,3.4924020065509387,1.4418185857459087,0.33676142355873223,0.13647264481816168,45.0,149010997.838693,3.019911325519294e-07
test,1,5,199.7314476916969,196.19661448272316,326.63477606423044,43.973334688267144,63.50492888996297,165.46231565027526,235.73990323104826,281.71637670557635,305.7952358285182,5.0,309.74709532061104,-0.054965791233923714,-0.31118649528677267,1.6353697919839845,32.138982539768,29.00113260421899,15.499783041297087,602.0204081632653,431.9160552022772,3.567567782176574,1.5676323050421206,0.33608134501510234,0.14674943193871526,49.0,145974122.39811033,3.356759348507261e-07
test,1,6,202.93285431413182,208.61221807707034,326.88400949855594,46.75971879710211,61.938281248956685,168.6854960577439,242.66801376881145,277.67185587516207,304.21601345472385,6.0,303.93072614113527,-0.22822192283633252,-0.22482635275988327,1.6107988556281418,28.79545520960975,22.57616993479359,18.690538045216172,553.3396226415094,396.5678205357442,3.5597216557365168,1.8768476482744016,0.3393469904640722,0.1284770525410545,53.0,146308527.0787953,3.622481960429862e-07
test,1,7,202.13611216900836,196.00103042441802,320.80377824802565,39.744325763226,60.30599594609969,172.7473577938158,236.2327812036416,284.6409254187032,299.6938111933834,6.0,302.7767423120391,-0.14821715113218753,-0.041844523823666435,1.587068113686672,29.416281729347663,23.023700238121528,15.712442735861611,540.9230769230769,380.9042309853013,3.613773995762972,1.619762717753967,0.31801313264485914,0.10915857672160091,52.0,138295176.48141629,3.7600732956140093e-07
test,1,8,207.61060949982647,210.13669327699637,309.7015209451935,38.55037567654102,57.66171557762234,172.18658825418674,245.5022410385816,283.1099264297577,296.61336929592056,5.0,297.5857746902225,-0.3769800550500417,0.09813163407652103,1.4917422654426165,36.52543458972002,32.2737952656212,18.06705770150569,583.2765957446809,383.99256685104564,3.244988536773674,1.450309298689887,0.3614561069009983,0.13724560354737772,47.0,124428144.20670237,3.7772804777930884e-07
test,1,9,206.82732217270657,207.34771089228974,324.94914727029305,26.953110356622975,58.16432903620266,173.68394699638336,239.92974469411146,280.73328384836395,290.75736488860053,5.0,297.9770307028907,-0.48810649823092384,0.7113637699850424,1.5711132545580775,36.259493349806874,29.128364956337162,20.03441628747189,665.7272727272727,404.59318434730955,3.2855380788465385,1.8026114652456309,0.3735428714849393,0.15028297989331513,44.0,143725826.3170673,3.061384382159231e-07
test,1,10,194.95695033112023,191.58019536933213,317.3350381837071,31.667673483514633,57.373664324785764,171.36476685503615,229.38842036379904,271.86035556419716,284.51897669102806,5.0,289.46729765465636,-0.42068155228992515,0.43927554744640096,1.6277185175739393,31.250250207387353,25.73236987004125,18.546415807359562,542.7551020408164,354.5280037488955,3.2690514625491116,1.5634845122723524,0.35280058352591503,0.11431790678560765,49.0,133857493.93319374,3.66060939587403e-07
test,1,11,195.12088549360828,193.22620052251568,310.88254156644956,42.97981958120539,58.05273520868281,169.6665656074754,232.3033915230156,276.19416128506134,283.64435827832165,5.0,288.4040578660688,-0.2869535988801538,-0.18714575067535266,1.593281727786303,31.44618575927579,23.349695764731134,18.887179694434884,556.2916666666666,338.0546952053093,3.372776914980171,1.6115181119681152,0.35091547408972507,0.13444844784220655,48.0,125857068.15148842,3.8138501639196447e-07
