dataset,sample,timepoint,mean_radius,median_radius,max_radius,min_radius,sd_radius,p25_radius,p75_radius,p90_radius,p95_radius,n_leader_cells,leader_fraction,mean_leader_radius,radius_skewness,radius_kurtosis,dispersion_index,mean_nn_dist,median_nn_dist,sd_nn_dist,mean_volume,sd_volume,mean_compactness,sd_compactness,mean_extent,sd_extent,cell_count,invasion_volume,cell_density
test,1,0,854.7526855659806,790.7554875413293,1794.8109032906782,62.32199139944703,421.7468177585775,607.3862130018776,1049.1415867972087,1492.1119216698003,1704.2587180719925,6.0,0.11764705882352941,1685.2076964299274,0.4727173688340443,-0.18492380646201445,2.099801420456762,80.05730273020632,58.97380109142383,58.75041416420339,522.5882352941177,396.38931249318966,2.74674472614003,1.2450284395497782,0.4176399846723166,0.1377181779548801,51.0,24218358673.01061,2.1058404778204625e-09
test,1,1,886.5597499148566,856.7300257886297,1798.3589236800465,59.45837923759871,444.3550077761905,622.1678729567672,1056.696679053722,1646.4106338210222,1751.065810088393,6.0,0.11538461538461539,1738.937885991879,0.4061654531189128,-0.39571935160881644,2.0284689484862777,78.35526360830927,64.29477195603438,45.32286931060677,529.9230769230769,348.5332204130955,3.2703075017953553,1.7065784343373598,0.37535111051897097,0.16037446132828906,52.0,24362268883.69314,2.134448160319179e-09
test,1,2,850.9587278304342,809.4203294844953,1791.7777123897997,67.15083643030742,418.6843846039183,588.3625592786939,1029.6865889929381,1326.161993543649,1733.6435325643506,5.0,0.11904761904761904,1654.740510633866,0.48044980022249784,-0.10473981198290305,2.1055988425643566,95.36745014234324,69.83127866009812,69.50789848788186,646.6428571428571,340.66060797483465,3.5135939048598495,1.4451866874527424,0.3333414452704281,0.13126454650461092,42.0,24095780582.42473,1.7430437605592436e-09
test,1,3,877.0410906172804,828.4627651039717,1792.244997071977,69.00332699928234,424.3914188798845,624.0036734116457,1051.3058418210724,1461.5501729470798,1754.1962229921808,5.0,0.10638297872340426,1746.9039899411123,0.45031866387877667,-0.1543557343506019,2.043513144647027,92.8846348826627,68.02970090222986,63.29074079421521,613.063829787234,401.7294895744019,3.5759770667367294,1.8797807086406864,0.35187393898712155,0.15889449223495228,47.0,24114637596.518726,1.949023692016217e-09
test,1,4,870.2045383244554,795.3312588756314,1800.537698354574,73.5725649846471,461.7908585983008,548.0718841850974,1052.7912778449013,1708.1694155876398,1768.721648840744,5.0,0.1111111111111111,1771.668963864881,0.5142956925803214,-0.4539520972048856,2.06909711344581,96.05586002731462,72.5387309896724,64.67584263053149,637.8444444444444,407.3547680716492,3.4924020065509387,1.4418185857459087,0.33676142355873223,0.13647264481816168,45.0,24450923425.134384,1.8404212887003747e-09
test,1,5,828.7676978089166,757.7576700402274,1802.480286485355,68.61998763379995,467.9782247493128,503.2477157069708,1036.8087102217974,1675.2302223793454,1765.8165337668427,5.0,0.10204081632653061,1770.7340941077218,0.5576909956749434,-0.3952412224772295,2.1748920611297047,92.5115998630727,85.19104003473012,59.56025964267935,602.0204081632653,431.9160552022772,3.567567782176574,1.5676323050421208,0.33608134501510234,0.14674943193871526,49.0,24530148654.56524,1.997541910162079e-09
test,1,6,845.1574660218864,782.521333765517,1799.2186676584993,63.4392505438096,439.7962409688319,546.2346229484656,1017.4271127907089,1599.4455408630417,1759.191099707867,6.0,0.11320754716981132,1750.1529068139341,0.6101048277973714,-0.2110697363723828,2.12885614810614,81.74318310715428,65.30887683293608,56.71048517743794,553.3396226415094,396.5678205357442,3.5597216557365168,1.8768476482744019,0.3393469904640722,0.1284770525410545,53.0,24397226302.898506,2.172378095033834e-09
test,1,7,856.696432083048,763.0428880033544,1800.2726019198617,59.51212480995091,452.9942110714541,559.3014042512133,1024.910326616145,1689.8179106320376,1758.823398314571,6.0,0.11538461538461539,1756.2731953143573,0.6381188276144093,-0.3126946129535906,2.101412512647588,76.70277151819866,57.3742448513404,50.46403617315983,540.9230769230769,380.9042309853013,3.613773995762972,1.6197627177539669,0.31801313264485914,0.10915857672160091,52.0,24440125153.579296,2.1276486790978856e-09
test,1,8,914.6772851662959,906.1833486195898,1799.0499046756402,64.80269776915468,483.4915086990954,611.6303196547219,1150.9634182182062,1733.0891543508587,1776.180997081801,5.0,0.10638297872340426,1775.6631593229176,0.37998627669253754,-0.6869944465634585,1.9668684615345597,91.93093786669813,73.99498299509867,60.714508434727925,583.2765957446809,383.99256685104564,3.244988536773674,1.450309298689887,0.3614561069009983,0.13724560354737772,47.0,24390361719.00161,1.9269906917118033e-09
test,1,9,906.1996032858328,861.1943872075849,1802.4571365495226,72.43332779866108,444.20031186364713,623.0273932071234,1076.950310695909,1704.7973020122388,1756.4720056623848,5.0,0.11363636363636363,1760.7606078325775,0.4565899687777988,-0.3988775209802964,1.9890288298669592,92.69129067629927,66.95492020141285,70.68912059060283,665.7272727272727,404.59318434730955,3.2855380788465385,1.8026114652456309,0.3735428714849393,0.15028297989331513,44.0,24529203516.78224,1.7937802167076623e-09
test,1,10,854.3199129562719,822.5081811106148,1801.0915049372545,68.59192007884117,447.398516403768,567.5265938894827,1086.194954989895,1464.8644938105012,1751.1717978507775,5.0,0.10204081632653061,1762.2071193117677,0.4481517056391111,-0.38860623954705176,2.1082166968399374,87.21813916852933,70.31555998678346,63.36558068060721,542.7551020408164,354.5280037488955,3.2690514625491116,1.5634845122723524,0.35280058352591503,0.11431790678560765,49.0,24473492096.25392,2.0021662543001075e-09
test,1,11,837.0815865427921,818.4859329320975,1798.1662582238203,78.79859083947666,458.9319388045807,508.5833418034663,1068.414590312966,1515.5497369278157,1761.7362316160077,5.0,0.10416666666666667,1768.703272099152,0.5111351195579336,-0.42288558498844475,2.1481373944090416,88.71282068111209,72.87944643368715,65.64520230712695,556.2916666666666,338.0546952053093,3.372776914980171,1.6115181119681152,0.35091547408972507,0.13444844784220655,48.0,24354439637.69049,1.9708932216907206e-09
test,2,0,569.1464130531351,462.1152063344431,1580.7988945996165,245.4913750755423,319.82928053845234,384.05121423354075,679.4078067260048,754.8403204439621,1370.5282870997878,4.0,0.125,1274.2909179426454,1.8755551318417336,3.0666987974725073,2.777490744639085,86.698869132691,61.681598497486334,72.79327568878519,695.125,531.7292392477282,3.5105317746623967,1.8297517247088935,0.3478590853626563,0.13909877769888765,32.0,16546970017.290548,1.933888800581738e-09
test,2,1,541.6236839964281,461.951646917902,1570.0032691891145,184.37981206264507,313.3222301826338,350.66429449712996,580.55241788545,749.5703507729132,1338.6457649158367,4.0,0.11428571428571428,1270.9561769619631,1.9783356125811493,3.602951868612146,2.898697593141936,85.72480331950362,64.99360975983929,66.54106870815673,635.3714285714286,440.84011278695687,3.7790463920597817,2.2896023693955376,0.3516678883476429,0.16925106554177816,35.0,16210271154.814674,2.1591248946878054e-09
test,2,2,555.130871421306,455.6974641050151,1530.656433979707,235.5849565403869,324.85919403492244,341.5853274527506,584.953985983821,812.9670377685809,1387.0703126216374,3.0,0.1,1428.9327514135719,1.8701261474809698,2.803952590427458,2.7572893398285614,94.01090213864524,64.6562615146322,77.5455875339371,770.1,448.35841189526195,3.417652492625345,2.0762440183177207,0.36914230954970645,0.15525455600467084,30.0,15021793008.247166,1.9970984810887487e-09
test,2,3,574.2354747244581,465.2511377083264,1857.2481097512707,220.71066496354138,362.8600413749289,355.67667847198953,637.3326787639372,912.8375696279174,1471.1232723468593,4.0,0.10526315789473684,1525.144369157339,2.0257147927454353,3.6932048044790386,3.2342970636609576,88.62748531906013,52.60014273909035,81.12650485070411,663.2368421052631,462.7041220390417,3.2666433692810526,1.901347207222419,0.3806131755482946,0.15896224959741218,38.0,26834801328.285393,1.4160715980388445e-09
test,2,4,530.1430864740394,441.14954882652876,1507.323083607963,186.84133161783663,289.5389822480484,374.2947794414425,585.798377712052,738.0776467052334,1251.0545966121513,4.0,0.10256410256410256,1245.7428175812063,2.1246016336994322,4.403008643904403,2.843238216371186,74.98767595950095,50.348796750447434,65.89528965818624,654.7435897435897,484.7469615522546,3.447304996286937,1.3518711806973855,0.33359143731398183,0.1265939032710652,39.0,14345234752.720604,2.71867283263549e-09
